X,plot,treat,background,focal,num_comp,num_seeds,fruit_date,Tr,N_acwr,N_femi,N_homu,N_pler,N_saco,N_urli,Log_Seeds,Log_Comp,IsD,IsW
1,402,D,ACWR,SACO,9,44,1-Jun,2,9,0,0,0,0,0,3.784189633918261,2.1972245773362196,TRUE,FALSE
2,404,D,HOMU,SACO,16,28,25-May,2,0,0,16,0,0,0,3.332204510175204,2.772588722239781,TRUE,FALSE
3,405,D,FEMI,SACO,22,12,25-May,2,0,22,0,0,0,0,2.4849066497880004,3.091042453358316,TRUE,FALSE
4,405,D,FEMI,SACO,55,8,1-Jun,2,0,55,0,0,0,0,2.0794415416798357,4.007333185232471,TRUE,FALSE
5,405,D,FEMI,SACO,75,292,19-Jun,2,0,75,0,0,0,0,5.676753802268282,4.31748811353631,TRUE,FALSE
6,407,W,HOMU,SACO,14,104,1-Jun,1,0,0,14,0,0,0,4.6443908991413725,2.6390573296152584,FALSE,TRUE
7,407,W,HOMU,SACO,11,64,1-Jun,1,0,0,11,0,0,0,4.1588830833596715,2.3978952727983707,FALSE,TRUE
8,407,W,HOMU,SACO,6,952,19-Jun,1,0,0,6,0,0,0,6.858565034791365,1.791759469228055,FALSE,TRUE
9,407,W,HOMU,SACO,15,20,1-Jun,1,0,0,15,0,0,0,2.995732273553991,2.70805020110221,FALSE,TRUE
10,407,W,HOMU,SACO,7,428,1-Jun,1,0,0,7,0,0,0,6.059123195581797,1.9459101490553132,FALSE,TRUE
11,407,W,HOMU,SACO,18,248,19-Jun,1,0,0,18,0,0,0,5.5134287461649825,2.8903717578961645,FALSE,TRUE
12,408,W,PLER,SACO,45,52,1-Jun,1,0,0,0,45,0,0,3.9512437185814275,3.8066624897703196,FALSE,TRUE
13,408,W,PLER,SACO,48,76,1-Jun,1,0,0,0,48,0,0,4.330733340286331,3.871201010907891,FALSE,TRUE
14,408,W,PLER,SACO,35,4,1-Jun,1,0,0,0,35,0,0,1.3862943611198906,3.5553480614894135,FALSE,TRUE
15,408,W,PLER,SACO,55,28,1-Jun,1,0,0,0,55,0,0,3.332204510175204,4.007333185232471,FALSE,TRUE
16,408,W,PLER,SACO,25,104,1-Jun,1,0,0,0,25,0,0,4.6443908991413725,3.2188758248682006,FALSE,TRUE
17,409,W,FEMI,SACO,65,12,1-Jun,1,0,65,0,0,0,0,2.4849066497880004,4.174387269895637,FALSE,TRUE
18,411,D,FEMI,SACO,48,20,1-Jun,2,0,48,0,0,0,0,2.995732273553991,3.871201010907891,TRUE,FALSE
19,411,D,FEMI,SACO,27,64,25-May,2,0,27,0,0,0,0,4.1588830833596715,3.295836866004329,TRUE,FALSE
